Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C6",0603,4,100nF,
"C3, C5",0603,2,1uF,
J1,JTAG Cart Edge Connector,1,Conn_01x06,
R1,0603,1,10K,
TP1,TestPoint_Pad_D1.0mm,1,5V,
TP2,TestPoint_Pad_D1.0mm,1,VCC,
TP3,TestPoint_Pad_D1.0mm,1,GND,
TP4,TestPoint_Pad_D1.0mm,1,TDI,
TP5,TestPoint_Pad_D1.0mm,1,TDO,
TP6,TestPoint_Pad_D1.0mm,1,TMS,
TP7,TestPoint_Pad_D1.0mm,1,TCK,
U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,FM1808,
U2,TQFP-44_10x10mm_P0.8mm,1,3032A,
U3,TSOP-I-48_18.4x12mm_P0.5mm,1,29F016,
U4,SOT-23-5,1,AP2127K,
U5,TSOP-6_1.65x3.05mm_P0.95mm,1,74LVC1G332,
U?1,GameBoy_GamePak_DMG-09_P1.50mm_Edge,1,CartBus,
